Время срабатывания,Квитировать,Сообщение
10.06.2020 06:11:40.454,Не квитировано,Компрессор К-101. КОМАНДА - ОТКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:11:37.953,Не квитировано,Компрессор К-101. ВКЛЮЧЕН
10.06.2020 06:11:37.854,Не квитировано,Компрессор К-101. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:11:04.117,Не квитировано,PDT-996. Перепад давления пропиленгликоля на насосе Р-22/В. «Минимум аварийный» СНЯТ
10.06.2020 06:10:18.416,Не квитировано,TT-981. Температура пропиленгликоля в емкости Е-112. НОРМА
10.06.2020 06:10:18.416,Не квитировано,TT-981. Температура пропиленгликоля в емкости Е-112. «Максимум» СНЯТ
10.06.2020 06:10:02.115,Не квитировано,PDT-996. Перепад давления пропиленгликоля на насосе Р-22/В. «Минимум аварийный»
10.06.2020 06:09:37.195,Не квитировано,Задвижка V-33. ОТКРЫВАЕТСЯ
10.06.2020 06:09:37.191,Не квитировано,Задвижка V-1. ЗАКРЫТА
10.06.2020 06:09:36.050,Не квитировано,Насос Р-22/А. ВКЛЮЧЕН
10.06.2020 06:09:36.015,Не квитировано,PDT-995. Перепад давления пропиленгликоля на насосе Р-22/А. НОРМА
10.06.2020 06:09:36.014,Не квитировано,PDT-995. Перепад давления пропиленгликоля на насосе Р-22/А. «Минимум предаварийный» СНЯТ
10.06.2020 06:09:36.014,Не квитировано,PDT-995. Перепад давления пропиленгликоля на насосе Р-22/А. «Минимум» СНЯТ
10.06.2020 06:09:35.349,Не квитировано,Насос Р-21/В. ВКЛЮЧЕН
10.06.2020 06:09:35.316,Не квитировано,PDT-986. Перепад давления пропиленгликоля на насосе Р-21/В. «Минимум» СНЯТ
10.06.2020 06:09:35.316,Не квитировано,PDT-986. Перепад давления пропиленгликоля на насосе Р-21/В. «Минимум предаварийный» СНЯТ
10.06.2020 06:09:35.316,Не квитировано,PDT-986. Перепад давления пропиленгликоля на насосе Р-21/В. НОРМА
10.06.2020 06:09:34.950,Не квитировано,Насос Р-22/А. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:09:34.923,Не квитировано,Контур охлаждения 2. ВКЛЮЧАЕТСЯ
10.06.2020 06:09:32.149,Не квитировано,Насос Р-21/В. КОМАНДА - ВКЛЮЧИТЬ АВТОМАТИЧЕСКИ
10.06.2020 06:09:32.123,Не квитировано,Контур охлаждения 1. ВКЛЮЧАЕТСЯ
10.06.2020 06:09:22.090,Не квитировано,Задвижка V-1. ЗАКРЫВАЕТСЯ
10.06.2020 06:09:21.491,Не квитировано,Задвижка V-1. КОМАНДА - ЗАКРЫТЬ С АРМ
10.06.2020 06:09:19.590,Не квитировано,Задвижка V-1. В ПРОМЕЖУТОЧНОМ ПОЛОЖЕНИИ
10.06.2020 06:09:18.990,Не квитировано,Задвижка V-1. КОМАНДА - СТОП C АРМ
10.06.2020 06:09:05.741,Не квитировано,Задвижка V-1. ОТКРЫВАЕТСЯ
10.06.2020 06:09:03.940,Не квитировано,Задвижка V-1. КОМАНДА - ОТКРЫТЬ С АРМ
10.06.2020 06:08:56.991,Не квитировано,Задвижка V-2. АВАРИЯ ДЕБЛОКИРОВАНА
10.06.2020 06:08:56.991,Не квитировано,Задвижка V-2. КОМАНДА - ДЕБЛОКИРОВАТЬ АВАРИЮ ЗАДВИЖКИ
10.06.2020 06:08:51.741,Не квитировано,Задвижка V-1. АВАРИЯ ДЕБЛОКИРОВАНА
10.06.2020 06:08:51.741,Не квитировано,Задвижка V-1. КОМАНДА - ДЕБЛОКИРОВАТЬ АВАРИЮ ЗАДВИЖКИ
10.06.2020 06:08:42.941,Не квитировано,Задвижка V-1. ОТКРЫТИЕ НЕВОЗМОЖНО. АВАРИЯ ЗАДВИЖКИ
10.06.2020 06:08:42.941,Не квитировано,Задвижка V-1. КОМАНДА - ОТКРЫТЬ С АРМ
